gem_parent,gem_norm,gvkey,conm,fic,isin,match_type,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,total_mw,alpha
Jilin Electric Power Co Ltd,jilin electric power,227480,SOUTHERN ELECTRIC POWER CO,PAK,PK0076101010,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Consumers Energy Co,consumers energy,013948,CONSUMERS ENERGY CO,USA,,exact_norm,1481.6,3071.0,270.0,831.8,4552.6,5654.4,0.8051
Origin Energy Ltd,origin energy,017525,ORIGIN ENERGY LTD,AUS,AU000000ORG5,exact_norm,2880.0,2693.0,0.0,0.0,5573.0,5573.0,1.0000
Clearway Energy Group LLC,clearway energy,018293,CLEARWAY ENERGY INC,USA,,exact_norm,0.0,0.0,2642.8,2914.8,0.0,5557.6,0.0000
Adani Green Energy,adani green energy,327477,ADANI GREEN ENERGY,IND,INE364U01010,exact_norm,0.0,0.0,2705.0,2723.2,0.0,5428.2,0.0000
Jiangxi Ganneng Co Ltd,jiangxi ganneng,271168,JIANGXI GANNENG CO LTD,CHN,CNE000000TP4,exact_norm,5200.0,0.0,215.0,0.0,5200.0,5415.0,0.9603
Pinnacle West Capital Corp,pinnacle west capital,001075,PINNACLE WEST CAPITAL CORP,USA,,exact_norm,1030.8,4324.4,0.0,0.0,5355.2,5355.2,1.0000
CGN Energy International Holding Co,cgn energy international,345688,SHINFOX ENERGY INTERNATIONAL,TWN,TW0006806003,jaccard_0.50,0.0,5330.0,0.0,0.0,5330.0,5330.0,1.0000
CGN Energy International Holding Co,cgn energy international,252586,BEIJING ENERGY INTERNATIONAL,BMU,BMG1146K2008,jaccard_0.50,0.0,5330.0,0.0,0.0,5330.0,5330.0,1.0000
TAURON Polska Energia SA,tauron polska energia,294966,TAURON POLSKA ENERGIA SA,POL,PLTAURN00011,exact_norm,4423.5,304.0,0.0,532.0,4727.5,5259.5,0.8988
Huadian Energy Co Ltd,huadian energy,213510,HUADIAN ENERGY CO LTD,CHN,CNE000000KX7,exact_norm,5254.4,0.0,0.0,0.0,5254.4,5254.4,1.0000
TransAlta Corp,transalta,014391,TRANSALTA CORP,CAN,,exact_norm,0.0,2831.6,95.9,2299.7,2831.6,5227.2,0.5417
Eneva SA,eneva,287670,ENEVA SA,BRA,BRENEVACNOR8,exact_norm,725.0,4460.9,0.0,0.0,5185.9,5185.9,1.0000
Electricity Generating PCL,electricity generating pcl,282044,KENYA ELEC GENERATING CO,KEN,KE0000000547,jaccard_0.50,1513.7,3335.9,71.6,160.0,4849.6,5081.2,0.9544
Florida Power & Light Co,florida power light,004798,FLORIDA POWER & LIGHT CO,USA,,exact_norm,0.0,0.0,5052.0,0.0,0.0,5052.0,0.0000
Ontario Power Generation Inc,ontario power generation,202071,JAPAN POWER GENERA,PAK,PK0074901015,jaccard_0.50,0.0,4813.0,14.7,0.0,4813.0,4827.7,0.9970
Ontario Power Generation Inc,ontario power generation,285323,QUADRA - POWER GENERATION,RUS,RU000A0JNMZ0,jaccard_0.50,0.0,4813.0,14.7,0.0,4813.0,4827.7,0.9970
Ontario Power Generation Inc,ontario power generation,326582,POWER GENERATION,VNM,VN000000PGV5,jaccard_0.50,0.0,4813.0,14.7,0.0,4813.0,4827.7,0.9970
YTL Corporation Bhd,ytl bhd,104474,YTL CORP BHD,MYS,MYL4677OO000,exact_norm,231.0,4381.0,0.0,0.0,4612.0,4612.0,1.0000
Hokuriku Electric Power Co,hokuriku electric power,102311,HOKURIKU ELECTRIC POWER CO,JPN,JP3845400005,exact_norm,2900.0,1664.7,0.0,0.0,4564.7,4564.7,1.0000
Forward Energo PJSC,forward energo,285711,PJSC FORWARD ENERGO,RUS,RU000A0F61T7,exact_norm,0.0,4467.0,0.0,35.0,4467.0,4502.0,0.9922
Shandong Energy Group Co Ltd,shandong energy,315641,SHANDONG HI-SPEED NEW ENERGY,CYM,KYG1146W1134,gem_subset,4382.7,0.0,100.0,0.0,4382.7,4482.7,0.9777
